timestamp,city,lat,lon,temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,aqi,pm2_5,pm10,no2,o3,so2,co,cycle_index
2026-04-27T00:20:29.165776,Fes,34.0181,-5.0078,17.95,18.1,88,1012,2.57,80,0,Clear,clear sky,1,3.56,8.79,1.6,48.4,0.09,94.65,16
2026-04-27T00:20:32.389986,Tanger,35.7595,-5.834,17.74,17.58,77,1014,9.26,80,0,Clear,clear sky,2,5.97,12.46,2.31,81.43,0.91,129.81,16
2026-04-27T00:20:35.623444,Agadir,30.4278,-9.5981,18.06,18.25,89,1011,5.75,138,68,Clouds,broken clouds,3,7.01,21.09,0.3,106.93,0.8,120.95,16
2026-04-27T16:00:16.109167,Casablanca,33.5731,-7.5898,22.01,22.17,73,1007,4.12,310,40,Clouds,scattered clouds,3,10.77,23.78,0.74,109.53,4.89,113.45,17
2026-04-27T16:00:19.331703,Rabat,34.0209,-6.8416,24.37,24.53,64,1007,3.09,300,88,Clouds,overcast clouds,3,14.07,29.25,1.22,109.21,5.5,113.18,17
2026-04-27T16:00:22.742603,Marrakech,31.6295,-7.9811,27.98,28.52,51,1006,4.63,270,40,Clouds,scattered clouds,3,6.75,27.57,0.24,102.74,0.41,102.19,17
2026-04-27T16:00:26.237039,Fes,34.0181,-5.0078,25.95,25.95,50,1005,3.09,60,75,Thunderstorm,thunderstorm,2,9.38,48.14,0.16,93.28,0.05,91.33,17
2026-04-27T16:00:29.526883,Tanger,35.7595,-5.834,21.74,21.64,64,1010,12.86,80,75,Clouds,broken clouds,2,6.58,13.47,1.07,99.89,1.62,126.16,17
2026-04-27T16:00:33.091502,Agadir,30.4278,-9.5981,25.06,25.58,75,1010,3.44,264,84,Clouds,broken clouds,3,4.61,6.93,0.36,100.22,0.47,119.1,17
2026-04-27T17:00:35.293509,Casablanca,33.5731,-7.5898,22.01,22.04,68,1007,4.12,320,40,Clouds,scattered clouds,3,10.08,22.58,0.93,107.43,4.69,114.36,18
2026-04-27T17:00:38.514189,Rabat,34.0209,-6.8416,23.37,23.54,68,1007,3.09,300,92,Clouds,overcast clouds,3,14.53,28.17,1.9,106.62,6.23,115.08,18
2026-04-27T17:00:41.739071,Marrakech,31.6295,-7.9811,28.02,28.56,51,1006,6.17,260,40,Clouds,scattered clouds,3,6.87,25.92,0.36,101.53,0.59,103.91,18
2026-04-27T17:00:45.074830,Fes,34.0181,-5.0078,26.95,27.37,50,1006,4.12,90,75,Thunderstorm,thunderstorm,2,8.66,41.08,0.43,87.44,0.09,91.42,18
2026-04-27T17:00:48.292480,Tanger,35.7595,-5.834,20.74,20.65,68,1009,13.38,80,75,Clouds,broken clouds,3,6.59,13.34,1.27,100.78,1.49,126.57,18
2026-04-27T18:02:52.890374,Casablanca,33.5731,-7.5898,22.01,22.3,78,1007,3.09,340,40,Clouds,scattered clouds,3,9.89,23.01,1.1,105.11,4.41,115.88,19
2026-04-27T18:02:56.259988,Rabat,34.0209,-6.8416,24.37,24.43,60,1007,3.6,330,90,Clouds,overcast clouds,3,15.57,28.2,2.77,103.45,6.96,118.84,19
2026-04-27T18:02:59.794418,Marrakech,31.6295,-7.9811,24.98,25.02,57,1006,9.26,270,75,Clouds,broken clouds,2,7.36,25.63,0.58,99.69,0.79,106.73,19
2026-04-27T18:03:03.115475,Fes,34.0181,-5.0078,26.95,27.37,50,1005,3.09,100,75,Thunderstorm,thunderstorm,2,8.29,35.59,0.93,78.58,0.14,92.23,19
2026-04-27T18:03:06.552196,Tanger,35.7595,-5.834,19.74,19.68,73,1009,12.86,80,75,Clouds,broken clouds,2,7.0,13.74,1.8,98.98,1.41,127.42,19
2026-04-27T18:03:10.136511,Agadir,30.4278,-9.5981,24.06,24.32,69,1010,3.93,272,60,Clouds,broken clouds,3,4.62,7.96,0.44,101.9,0.49,119.7,19
2026-04-27T19:03:12.346694,Casablanca,33.5731,-7.5898,20.78,20.95,78,1007,3.09,340,40,Clouds,scattered clouds,3,9.77,23.62,1.2,102.91,4.0,117.33,20
2026-04-27T19:03:15.599859,Rabat,34.0209,-6.8416,24.37,24.35,57,1006,3.6,350,80,Clouds,broken clouds,2,15.83,28.06,3.43,99.66,6.93,121.94,20
2026-04-27T19:03:18.865813,Marrakech,31.6295,-7.9811,23.98,24.0,60,1007,8.23,290,75,Rain,moderate rain,2,7.3,23.4,0.86,97.24,0.92,109.23,20
2026-04-27T19:03:22.114261,Fes,34.0181,-5.0078,25.97,25.97,53,1005,2.06,80,75,Thunderstorm,thunderstorm,2,7.89,31.61,1.38,72.3,0.19,93.26,20
2026-04-27T19:03:25.389357,Tanger,35.7595,-5.834,19.74,19.68,73,1009,12.86,80,75,Clouds,broken clouds,2,7.57,14.48,2.51,95.11,1.39,128.46,20
2026-04-27T19:03:28.681915,Agadir,30.4278,-9.5981,23.06,23.3,72,1010,4.26,266,51,Clouds,broken clouds,3,5.34,10.11,0.43,102.4,0.52,119.19,20
2026-04-27T20:03:30.949467,Casablanca,33.5731,-7.5898,21.01,21.2,78,1008,1.54,310,40,Clouds,scattered clouds,2,9.66,23.79,1.32,99.48,3.45,117.52,21
2026-04-27T20:03:34.548580,Rabat,34.0209,-6.8416,22.37,22.44,68,1007,2.06,320,8,Clear,clear sky,2,15.35,26.86,3.9,94.25,6.62,123.3,21
2026-04-27T20:03:38.063874,Marrakech,31.6295,-7.9811,21.98,21.9,64,1009,6.17,290,75,Rain,moderate rain,2,6.93,20.62,1.14,92.53,0.94,109.73,21
2026-04-27T20:03:41.496780,Fes,34.0181,-5.0078,22.95,23.21,73,1006,3.09,90,75,Thunderstorm,thunderstorm,2,7.16,26.97,1.75,66.18,0.22,92.88,21
2026-04-27T20:03:44.729982,Tanger,35.7595,-5.834,18.74,18.55,72,1009,10.8,90,75,Clouds,broken clouds,2,8.0,15.18,3.13,89.61,1.36,128.67,21
2026-04-27T20:03:48.163027,Agadir,30.4278,-9.5981,21.06,21.23,77,1011,3.53,266,0,Clear,clear sky,3,6.38,12.85,0.4,102.68,0.53,118.15,21
2026-04-27T21:03:50.361412,Casablanca,33.5731,-7.5898,20.01,20.23,83,1009,3.6,300,40,Rain,light rain,2,9.85,24.56,1.41,96.77,2.93,118.77,22
2026-04-27T21:03:53.713948,Rabat,34.0209,-6.8416,20.37,20.63,83,1008,1.54,250,6,Clear,clear sky,2,15.05,26.21,3.86,90.91,5.67,125.63,22
2026-04-27T21:03:57.003836,Marrakech,31.6295,-7.9811,19.98,19.94,73,1010,4.63,260,75,Rain,moderate rain,2,6.64,18.75,1.31,89.9,0.91,111.61,22
2026-04-27T21:04:00.255102,Fes,34.0181,-5.0078,21.95,22.11,73,1007,3.09,120,75,Thunderstorm,thunderstorm,2,6.6,23.28,1.98,61.62,0.21,94.29,22
2026-04-27T21:04:03.532526,Tanger,35.7595,-5.834,18.74,18.55,72,1009,12.35,80,75,Clouds,broken clouds,2,8.26,15.75,3.26,84.16,1.31,129.3,22
2026-04-27T21:04:06.810389,Agadir,30.4278,-9.5981,18.06,18.09,83,1012,3.2,266,0,Clear,clear sky,3,7.23,15.06,0.34,102.74,0.53,117.41,22
2026-04-27T22:04:09.002799,Casablanca,33.5731,-7.5898,20.0,20.22,83,1009,3.09,260,18,Clouds,few clouds,2,10.07,25.4,1.44,94.64,2.56,119.86,23
2026-04-27T22:04:12.423666,Rabat,34.0209,-6.8416,20.37,20.76,88,1008,2.06,220,4,Clear,clear sky,2,14.84,25.98,3.5,89.66,4.56,127.72,23
2026-04-27T22:04:15.712184,Marrakech,31.6295,-7.9811,18.98,18.81,72,1012,3.6,290,75,Rain,moderate rain,2,6.47,17.77,1.39,88.13,0.86,113.17,23
2026-04-27T22:04:19.190047,Fes,34.0181,-5.0078,20.95,21.01,73,1007,4.12,100,75,Thunderstorm,thunderstorm,2,6.18,20.31,2.11,58.8,0.19,95.63,23
2026-04-27T22:04:22.579516,Tanger,35.7595,-5.834,18.74,18.55,72,1009,13.38,80,20,Clouds,few clouds,2,8.39,16.12,3.23,79.31,1.23,129.85,23
2026-04-27T22:04:25.975647,Agadir,30.4278,-9.5981,18.06,18.19,87,1012,3.08,270,0,Clear,clear sky,3,7.58,15.94,0.3,102.1,0.51,116.66,23
2026-04-27T23:04:28.184479,Casablanca,33.5731,-7.5898,20.0,20.22,83,1012,2.06,210,38,Rain,moderate rain,2,10.15,25.46,1.44,91.88,2.35,119.11,24
2026-04-27T23:04:31.565652,Rabat,34.0209,-6.8416,20.37,20.92,94,1009,5.66,210,3,Rain,light rain,2,14.14,23.84,3.09,87.29,4.14,126.42,24
2026-04-27T23:04:34.896728,Marrakech,31.6295,-7.9811,17.98,17.84,77,1012,4.63,280,75,Rain,moderate rain,2,6.28,16.91,1.36,86.11,0.8,112.99,24
2026-04-27T23:04:38.816830,Fes,34.0181,-5.0078,21.95,21.98,68,1007,3.6,350,75,Thunderstorm,thunderstorm,1,6.0,18.69,2.21,55.24,0.16,94.93,24
2026-04-27T23:04:42.177560,Tanger,35.7595,-5.834,18.77,18.58,72,1009,12.86,70,20,Clouds,few clouds,2,8.51,16.38,3.16,74.95,1.21,129.91,24
