cycle_index,city,timestamp,lat,lon,temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,aqi,pm2_5,pm10,no2,o3,so2,co,hour,day_of_week,day_of_month,month,city_encoded
7,Agadir,2026-04-26 13:47:51.223700,30.4278,-9.5981,24.06,24.4,72.0,1009.0,4.28,253.0,7.0,Clear,clear sky,2.0,9.61,22.89,0.28,99.3,1.12,114.76,13.0,6.0,26.0,4.0,0
7,Casablanca,,33.5731,-7.5898,21.01,21.07,73.0,1010.5,2.5700000000000003,45.0,60.0,Clouds,broken clouds,3.0,8.495000000000001,16.689999999999998,0.55,105.945,3.5949999999999998,109.52,14.555891238670695,2.881168177240685,13.362537764350453,4.628398791540786,1
7,Fes,2026-04-26 13:47:44.747968,34.0181,-5.0078,24.95,24.81,50.0,1010.0,4.63,60.0,20.0,Clouds,few clouds,2.0,4.55,18.73,0.15,81.36,0.07,95.47,13.0,6.0,26.0,4.0,2
7,Marrakech,2026-04-26 13:47:41.550470,31.6295,-7.9811,25.98,25.98,47.0,1009.0,3.6,40.0,40.0,Clouds,scattered clouds,3.0,11.22,54.65,0.23,96.53,0.15,101.46,13.0,6.0,26.0,4.0,3
7,Rabat,2026-04-26 13:47:38.319382,34.0209,-6.8416,21.37,21.6,78.0,1010.0,3.6,320.0,40.0,Clouds,scattered clouds,3.0,12.38,18.49,0.71,108.01,5.29,114.84,13.0,6.0,26.0,4.0,4
7,Tanger,2026-04-26 13:47:47.968614,35.7595,-5.834,22.75,22.54,56.0,1013.0,11.83,80.0,40.0,Clouds,scattered clouds,2.0,4.12,7.41,0.54,98.44,1.0,126.18,13.0,6.0,26.0,4.0,5
8,Agadir,2026-04-26 16:18:01.742941,30.4278,-9.5981,23.06,23.28,71.0,1008.0,4.18,235.0,9.0,Clear,clear sky,2.0,10.69,24.53,0.33,99.35,0.96,118.08,16.0,6.0,26.0,4.0,0
8,Casablanca,2026-04-26 16:17:44.454621,33.5731,-7.5898,21.01,21.07,73.0,1010.0,3.6,50.0,40.0,Clouds,scattered clouds,3.0,7.77,13.59,0.49,108.88,3.52,107.52,16.0,6.0,26.0,4.0,1
8,Fes,2026-04-26 16:17:54.794429,34.0181,-5.0078,25.95,25.95,47.0,1009.0,4.63,80.0,20.0,Clouds,few clouds,2.0,4.24,17.06,0.26,81.87,0.08,94.42,16.0,6.0,26.0,4.0,2
8,Marrakech,2026-04-26 16:17:51.542472,31.6295,-7.9811,30.98,30.48,37.0,1007.0,2.06,0.0,40.0,Clouds,scattered clouds,3.0,11.02,54.42,0.21,99.58,0.14,100.75,16.0,6.0,26.0,4.0,3
8,Rabat,2026-04-26 16:17:47.676441,34.0209,-6.8416,24.37,24.43,60.0,1010.0,3.09,320.0,40.0,Clouds,scattered clouds,3.0,9.94,14.68,0.67,105.31,4.28,112.01,16.0,6.0,26.0,4.0,4
8,Tanger,2026-04-26 16:17:58.476021,35.7595,-5.834,21.74,21.54,60.0,1013.0,13.89,80.0,40.0,Clouds,scattered clouds,3.0,5.04,10.28,0.54,108.2,1.22,127.39,16.0,6.0,26.0,4.0,5
9,Agadir,2026-04-26 17:18:20.073763,30.4278,-9.5981,24.06,24.4,72.0,1008.0,3.07,223.0,5.0,Clear,clear sky,3.0,11.21,25.08,0.42,101.92,1.0,120.26,17.0,6.0,26.0,4.0,0
9,Casablanca,2026-04-26 17:18:03.813706,33.5731,-7.5898,22.01,21.83,60.0,1010.0,3.09,60.0,40.0,Clouds,scattered clouds,3.0,8.21,14.42,0.67,109.62,3.78,109.4,17.0,6.0,26.0,4.0,1
9,Fes,2026-04-26 17:18:13.572014,34.0181,-5.0078,26.95,27.2,47.0,1009.0,4.12,80.0,20.0,Clouds,few clouds,2.0,4.07,15.04,0.5,76.52,0.11,94.51,17.0,6.0,26.0,4.0,2
9,Marrakech,2026-04-26 17:18:10.343646,31.6295,-7.9811,29.98,29.15,35.0,1007.0,2.57,60.0,40.0,Clouds,scattered clouds,3.0,11.52,55.3,0.31,99.8,0.24,101.46,17.0,6.0,26.0,4.0,3
9,Rabat,2026-04-26 17:18:07.049503,34.0209,-6.8416,23.37,23.33,60.0,1010.0,4.12,340.0,40.0,Clouds,scattered clouds,3.0,9.82,14.82,0.95,106.15,4.4,113.74,17.0,6.0,26.0,4.0,4
9,Tanger,2026-04-26 17:18:16.803027,35.7595,-5.834,21.74,21.54,60.0,1012.0,13.38,80.0,40.0,Clouds,scattered clouds,3.0,5.27,10.88,0.67,108.74,1.24,127.58,17.0,6.0,26.0,4.0,5
10,Agadir,2026-04-26 18:18:39.348319,30.4278,-9.5981,23.06,23.35,74.0,1008.0,2.44,194.0,9.0,Clear,clear sky,3.0,10.94,24.51,0.52,104.53,1.03,121.4,18.0,6.0,26.0,4.0,0
10,Casablanca,2026-04-26 18:18:22.090226,33.5731,-7.5898,21.84,21.65,60.0,1010.0,3.6,20.0,40.0,Clouds,scattered clouds,3.0,8.57,15.13,0.86,108.97,4.09,110.97,18.0,6.0,26.0,4.0,1
10,Fes,2026-04-26 18:18:32.156186,34.0181,-5.0078,25.95,25.95,47.0,1009.0,4.12,70.0,20.0,Clouds,few clouds,2.0,3.9,13.06,0.87,69.67,0.14,94.67,18.0,6.0,26.0,4.0,2
10,Marrakech,2026-04-26 18:18:28.930937,31.6295,-7.9811,29.98,29.15,35.0,1007.0,1.54,0.0,40.0,Clouds,scattered clouds,3.0,12.2,56.36,0.53,99.98,0.34,102.92,18.0,6.0,26.0,4.0,3
10,Rabat,2026-04-26 18:18:25.624177,34.0209,-6.8416,23.35,23.2,56.0,1010.0,3.6,340.0,40.0,Clouds,scattered clouds,3.0,9.56,14.91,1.44,106.38,4.55,115.92,18.0,6.0,26.0,4.0,4
10,Tanger,2026-04-26 18:18:35.710158,35.7595,-5.834,20.83,20.64,64.0,1012.0,13.89,80.0,40.0,Clouds,scattered clouds,3.0,5.59,11.61,0.92,108.73,1.27,127.57,18.0,6.0,26.0,4.0,5
11,Agadir,2026-04-26 19:18:58.131519,30.4278,-9.5981,21.06,21.23,77.0,1008.0,3.12,178.0,14.0,Clouds,few clouds,3.0,10.29,23.85,0.56,106.43,1.01,122.0,19.0,6.0,26.0,4.0,0
11,Casablanca,2026-04-26 19:18:41.519052,33.5731,-7.5898,20.01,19.97,73.0,1010.0,3.6,30.0,75.0,Clouds,broken clouds,3.0,8.76,15.6,1.05,108.24,4.27,112.55,19.0,6.0,26.0,4.0,1
11,Fes,2026-04-26 19:18:51.491845,34.0181,-5.0078,24.95,24.88,53.0,1009.0,3.09,60.0,20.0,Clouds,few clouds,2.0,3.76,11.82,1.19,66.75,0.17,94.91,19.0,6.0,26.0,4.0,2
11,Marrakech,2026-04-26 19:18:48.197902,31.6295,-7.9811,28.98,28.33,37.0,1007.0,2.06,90.0,40.0,Rain,light rain,3.0,12.45,55.44,0.75,99.51,0.42,104.14,19.0,6.0,26.0,4.0,3
11,Rabat,2026-04-26 19:18:44.758053,34.0209,-6.8416,22.37,22.23,60.0,1010.0,3.09,340.0,40.0,Clouds,scattered clouds,3.0,8.78,14.43,2.06,104.8,4.51,117.69,19.0,6.0,26.0,4.0,4
11,Tanger,2026-04-26 19:18:54.874631,35.7595,-5.834,19.74,19.44,64.0,1012.0,12.35,80.0,40.0,Clouds,scattered clouds,3.0,5.87,12.19,1.28,107.49,1.32,127.83,19.0,6.0,26.0,4.0,5
12,Agadir,2026-04-26 20:19:16.437724,30.4278,-9.5981,19.06,19.19,83.0,1009.0,2.53,149.0,75.0,Clouds,broken clouds,3.0,9.24,22.64,0.51,107.43,0.98,121.81,20.0,6.0,26.0,4.0,0
12,Casablanca,2026-04-26 20:19:00.109669,33.5731,-7.5898,18.95,19.04,82.0,1011.0,2.57,30.0,75.0,Clouds,broken clouds,3.0,8.86,16.17,1.47,105.31,4.32,114.43,20.0,6.0,26.0,4.0,1
12,Fes,2026-04-26 20:19:09.875862,34.0181,-5.0078,21.95,21.87,64.0,1010.0,1.03,0.0,20.0,Clouds,few clouds,2.0,3.65,11.23,1.36,65.71,0.2,94.63,20.0,6.0,26.0,4.0,2
12,Marrakech,2026-04-26 20:19:06.608826,31.6295,-7.9811,27.98,27.58,39.0,1009.0,2.06,90.0,40.0,Rain,light rain,3.0,12.24,51.19,1.13,94.34,0.47,104.31,20.0,6.0,26.0,4.0,3
12,Rabat,2026-04-26 20:19:03.365268,34.0209,-6.8416,21.37,21.34,68.0,1011.0,2.06,340.0,40.0,Clouds,scattered clouds,2.0,7.97,13.87,2.95,99.76,4.32,118.6,20.0,6.0,26.0,4.0,4
12,Tanger,2026-04-26 20:19:13.158065,35.7595,-5.834,18.74,18.45,68.0,1013.0,10.8,80.0,40.0,Clouds,scattered clouds,3.0,6.0,12.55,1.79,103.47,1.32,128.43,20.0,6.0,26.0,4.0,5
13,Agadir,2026-04-26 21:19:35.084277,30.4278,-9.5981,18.06,18.17,86.0,1010.0,3.48,137.0,92.0,Clouds,overcast clouds,3.0,8.22,21.59,0.43,107.98,0.93,121.63,21.0,6.0,26.0,4.0,0
13,Casablanca,2026-04-26 21:19:18.140893,33.5731,-7.5898,18.95,19.04,82.0,1012.0,1.03,0.0,57.0,Clouds,broken clouds,3.0,9.0,17.07,1.86,102.38,4.13,118.15,21.0,6.0,26.0,4.0,1
13,Fes,2026-04-26 21:19:28.009721,34.0181,-5.0078,19.95,19.88,72.0,1011.0,1.03,0.0,40.0,Clouds,scattered clouds,2.0,3.66,11.04,1.41,62.3,0.19,95.25,21.0,6.0,26.0,4.0,2
13,Marrakech,2026-04-26 21:19:24.767338,31.6295,-7.9811,25.98,25.98,50.0,1010.0,5.14,150.0,75.0,Rain,light rain,2.0,12.14,47.5,1.55,88.71,0.47,106.18,21.0,6.0,26.0,4.0,3
13,Rabat,2026-04-26 21:19:21.469634,34.0209,-6.8416,18.37,18.4,82.0,1011.0,0.0,0.0,40.0,Clouds,scattered clouds,2.0,7.61,13.85,3.48,94.65,4.01,121.11,21.0,6.0,26.0,4.0,4
13,Tanger,2026-04-26 21:19:31.849861,35.7595,-5.834,18.74,18.55,72.0,1013.0,10.8,80.0,40.0,Clouds,scattered clouds,2.0,6.05,12.83,2.05,97.95,1.25,129.19,21.0,6.0,26.0,4.0,5
14,Agadir,2026-04-26 22:19:55.147853,30.4278,-9.5981,18.06,18.22,88.0,1011.0,4.33,138.0,71.0,Clouds,broken clouds,3.0,7.95,22.35,0.37,108.06,0.88,121.45,22.0,6.0,26.0,4.0,0
14,Casablanca,2026-04-26 22:19:37.757509,33.5731,-7.5898,18.95,19.04,82.0,1012.0,0.51,0.0,50.0,Clouds,scattered clouds,3.0,9.03,17.92,2.1,100.43,3.76,121.83,22.0,6.0,26.0,4.0,1
14,Fes,2026-04-26 22:19:48.338069,34.0181,-5.0078,18.97,19.06,82.0,1012.0,1.03,0.0,0.0,Clear,clear sky,1.0,3.68,10.65,1.41,58.71,0.16,95.94,22.0,6.0,26.0,4.0,2
14,Marrakech,2026-04-26 22:19:44.812571,31.6295,-7.9811,24.98,24.92,53.0,1010.0,0.51,0.0,40.0,Rain,light rain,2.0,12.04,45.35,1.82,84.36,0.47,107.9,22.0,6.0,26.0,4.0,3
14,Rabat,2026-04-26 22:19:41.429753,34.0209,-6.8416,15.37,15.57,100.0,1012.0,0.0,0.0,40.0,Clouds,scattered clouds,2.0,7.52,13.99,3.63,90.81,3.7,123.47,22.0,6.0,26.0,4.0,4
14,Tanger,2026-04-26 22:19:51.775599,35.7595,-5.834,18.74,18.55,72.0,1014.0,10.29,80.0,40.0,Clouds,scattered clouds,2.0,6.05,12.98,2.12,93.12,1.17,130.04,22.0,6.0,26.0,4.0,5
15,Agadir,2026-04-26 23:20:17.592166,30.4278,-9.5981,18.06,18.25,89.0,1011.0,5.36,137.0,77.0,Clouds,broken clouds,3.0,7.4,21.79,0.33,107.87,0.84,121.22,23.0,6.0,26.0,4.0,0
15,Casablanca,2026-04-26 23:19:58.384463,33.5731,-7.5898,18.95,19.04,82.0,1012.0,1.54,320.0,57.0,Clouds,broken clouds,2.0,8.86,18.3,2.2,96.45,3.27,122.16,23.0,6.0,26.0,4.0,1
15,Fes,2026-04-26 23:20:10.893859,34.0181,-5.0078,18.95,19.04,82.0,1012.0,1.03,0.0,0.0,Clear,clear sky,1.0,3.61,9.69,1.48,53.61,0.12,94.78,23.0,6.0,26.0,4.0,2
15,Marrakech,2026-04-26 23:20:07.311055,31.6295,-7.9811,23.98,23.92,57.0,1010.0,2.57,10.0,40.0,Clouds,scattered clouds,2.0,11.73,43.09,2.03,80.05,0.49,106.99,23.0,6.0,26.0,4.0,3
15,Rabat,2026-04-26 23:20:02.322482,34.0209,-6.8416,15.37,15.57,100.0,1012.0,0.0,0.0,40.0,Clouds,scattered clouds,2.0,7.37,13.78,3.64,85.09,3.29,122.97,23.0,6.0,26.0,4.0,4
15,Tanger,2026-04-26 23:20:14.392442,35.7595,-5.834,18.74,18.45,68.0,1014.0,9.77,80.0,40.0,Clouds,scattered clouds,2.0,6.01,12.83,2.22,87.53,1.06,130.01,23.0,6.0,26.0,4.0,5
16,Agadir,2026-04-27 00:20:35.623444,30.4278,-9.5981,18.06,18.25,89.0,1011.0,5.75,138.0,68.0,Clouds,broken clouds,3.0,7.01,21.09,0.3,106.93,0.8,120.95,0.0,0.0,27.0,4.0,0
16,Casablanca,2026-04-27 00:20:19.453476,33.5731,-7.5898,17.89,18.03,88.0,1012.0,2.06,320.0,62.0,Clouds,broken clouds,2.0,8.87,18.85,2.25,93.35,2.81,123.69,0.0,0.0,27.0,4.0,1
16,Fes,2026-04-27 00:20:29.165776,34.0181,-5.0078,17.95,18.1,88.0,1012.0,2.57,80.0,0.0,Clear,clear sky,1.0,3.56,8.79,1.6,48.4,0.09,94.65,0.0,0.0,27.0,4.0,2
16,Marrakech,2026-04-27 00:20:25.914450,31.6295,-7.9811,22.98,22.9,60.0,1010.0,1.54,30.0,40.0,Clouds,scattered clouds,2.0,11.7,41.86,2.21,79.1,0.51,107.35,0.0,0.0,27.0,4.0,3
16,Rabat,2026-04-27 00:20:22.692245,34.0209,-6.8416,16.37,16.67,100.0,1011.0,1.54,230.0,40.0,Clouds,scattered clouds,2.0,7.38,13.64,3.64,80.2,2.94,123.58,0.0,0.0,27.0,4.0,4
16,Tanger,2026-04-27 00:20:32.389986,35.7595,-5.834,17.74,17.58,77.0,1014.0,9.26,80.0,0.0,Clear,clear sky,2.0,5.97,12.46,2.31,81.43,0.91,129.81,0.0,0.0,27.0,4.0,5
17,Agadir,2026-04-27 16:00:33.091502,30.4278,-9.5981,25.06,25.58,75.0,1010.0,3.44,264.0,84.0,Clouds,broken clouds,3.0,4.61,6.93,0.36,100.22,0.47,119.1,16.0,0.0,27.0,4.0,0
17,Casablanca,2026-04-27 16:00:16.109167,33.5731,-7.5898,22.01,22.17,73.0,1007.0,4.12,310.0,40.0,Clouds,scattered clouds,3.0,10.77,23.78,0.74,109.53,4.89,113.45,16.0,0.0,27.0,4.0,1
17,Fes,2026-04-27 16:00:26.237039,34.0181,-5.0078,25.95,25.95,50.0,1005.0,3.09,60.0,75.0,Thunderstorm,thunderstorm,2.0,9.38,48.14,0.16,93.28,0.05,91.33,16.0,0.0,27.0,4.0,2
17,Marrakech,2026-04-27 16:00:22.742603,31.6295,-7.9811,27.98,28.52,51.0,1006.0,4.63,270.0,40.0,Clouds,scattered clouds,3.0,6.75,27.57,0.24,102.74,0.41,102.19,16.0,0.0,27.0,4.0,3
17,Rabat,2026-04-27 16:00:19.331703,34.0209,-6.8416,24.37,24.53,64.0,1007.0,3.09,300.0,88.0,Clouds,overcast clouds,3.0,14.07,29.25,1.22,109.21,5.5,113.18,16.0,0.0,27.0,4.0,4
17,Tanger,2026-04-27 16:00:29.526883,35.7595,-5.834,21.74,21.64,64.0,1010.0,12.86,80.0,75.0,Clouds,broken clouds,2.0,6.58,13.47,1.07,99.89,1.62,126.16,16.0,0.0,27.0,4.0,5
18,Agadir,,30.4278,-9.5981,24.56,24.95,72.0,1010.0,3.685,268.0,72.0,Clouds,broken clouds,3.0,4.615,7.445,0.4,101.06,0.48,119.4,14.555891238670695,2.881168177240685,13.362537764350453,4.628398791540786,0
18,Casablanca,2026-04-27 17:00:35.293509,33.5731,-7.5898,22.01,22.04,68.0,1007.0,4.12,320.0,40.0,Clouds,scattered clouds,3.0,10.08,22.58,0.93,107.43,4.69,114.36,17.0,0.0,27.0,4.0,1
18,Fes,2026-04-27 17:00:45.074830,34.0181,-5.0078,26.95,27.37,50.0,1006.0,4.12,90.0,75.0,Thunderstorm,thunderstorm,2.0,8.66,41.08,0.43,87.44,0.09,91.42,17.0,0.0,27.0,4.0,2
18,Marrakech,2026-04-27 17:00:41.739071,31.6295,-7.9811,28.02,28.56,51.0,1006.0,6.17,260.0,40.0,Clouds,scattered clouds,3.0,6.87,25.92,0.36,101.53,0.59,103.91,17.0,0.0,27.0,4.0,3
18,Rabat,2026-04-27 17:00:38.514189,34.0209,-6.8416,23.37,23.54,68.0,1007.0,3.09,300.0,92.0,Clouds,overcast clouds,3.0,14.53,28.17,1.9,106.62,6.23,115.08,17.0,0.0,27.0,4.0,4
18,Tanger,2026-04-27 17:00:48.292480,35.7595,-5.834,20.74,20.65,68.0,1009.0,13.38,80.0,75.0,Clouds,broken clouds,3.0,6.59,13.34,1.27,100.78,1.49,126.57,17.0,0.0,27.0,4.0,5
19,Agadir,2026-04-27 18:03:10.136511,30.4278,-9.5981,24.06,24.32,69.0,1010.0,3.93,272.0,60.0,Clouds,broken clouds,3.0,4.62,7.96,0.44,101.9,0.49,119.7,18.0,0.0,27.0,4.0,0
19,Casablanca,2026-04-27 18:02:52.890374,33.5731,-7.5898,22.01,22.3,78.0,1007.0,3.09,340.0,40.0,Clouds,scattered clouds,3.0,9.89,23.01,1.1,105.11,4.41,115.88,18.0,0.0,27.0,4.0,1
19,Fes,2026-04-27 18:03:03.115475,34.0181,-5.0078,26.95,27.37,50.0,1005.0,3.09,100.0,75.0,Thunderstorm,thunderstorm,2.0,8.29,35.59,0.93,78.58,0.14,92.23,18.0,0.0,27.0,4.0,2
19,Marrakech,2026-04-27 18:02:59.794418,31.6295,-7.9811,24.98,25.02,57.0,1006.0,9.26,270.0,75.0,Clouds,broken clouds,2.0,7.36,25.63,0.58,99.69,0.79,106.73,18.0,0.0,27.0,4.0,3
19,Rabat,2026-04-27 18:02:56.259988,34.0209,-6.8416,24.37,24.43,60.0,1007.0,3.6,330.0,90.0,Clouds,overcast clouds,3.0,15.57,28.2,2.77,103.45,6.96,118.84,18.0,0.0,27.0,4.0,4
19,Tanger,2026-04-27 18:03:06.552196,35.7595,-5.834,19.74,19.68,73.0,1009.0,12.86,80.0,75.0,Clouds,broken clouds,2.0,7.0,13.74,1.8,98.98,1.41,127.42,18.0,0.0,27.0,4.0,5
20,Agadir,2026-04-27 19:03:28.681915,30.4278,-9.5981,23.06,23.3,72.0,1010.0,4.26,266.0,51.0,Clouds,broken clouds,3.0,5.34,10.11,0.43,102.4,0.52,119.19,19.0,0.0,27.0,4.0,0
20,Casablanca,2026-04-27 19:03:12.346694,33.5731,-7.5898,20.78,20.95,78.0,1007.0,3.09,340.0,40.0,Clouds,scattered clouds,3.0,9.77,23.62,1.2,102.91,4.0,117.33,19.0,0.0,27.0,4.0,1
20,Fes,2026-04-27 19:03:22.114261,34.0181,-5.0078,25.97,25.97,53.0,1005.0,2.06,80.0,75.0,Thunderstorm,thunderstorm,2.0,7.89,31.61,1.38,72.3,0.19,93.26,19.0,0.0,27.0,4.0,2
20,Marrakech,2026-04-27 19:03:18.865813,31.6295,-7.9811,23.98,24.0,60.0,1007.0,8.23,290.0,75.0,Rain,moderate rain,2.0,7.3,23.4,0.86,97.24,0.92,109.23,19.0,0.0,27.0,4.0,3
20,Rabat,2026-04-27 19:03:15.599859,34.0209,-6.8416,24.37,24.35,57.0,1006.0,3.6,350.0,80.0,Clouds,broken clouds,2.0,15.83,28.06,3.43,99.66,6.93,121.94,19.0,0.0,27.0,4.0,4
20,Tanger,2026-04-27 19:03:25.389357,35.7595,-5.834,19.74,19.68,73.0,1009.0,12.86,80.0,75.0,Clouds,broken clouds,2.0,7.57,14.48,2.51,95.11,1.39,128.46,19.0,0.0,27.0,4.0,5
21,Agadir,2026-04-27 20:03:48.163027,30.4278,-9.5981,21.06,21.23,77.0,1011.0,3.53,266.0,0.0,Clear,clear sky,3.0,6.38,12.85,0.4,102.68,0.53,118.15,20.0,0.0,27.0,4.0,0
21,Casablanca,2026-04-27 20:03:30.949467,33.5731,-7.5898,21.01,21.2,78.0,1008.0,1.54,310.0,40.0,Clouds,scattered clouds,2.0,9.66,23.79,1.32,99.48,3.45,117.52,20.0,0.0,27.0,4.0,1
21,Fes,2026-04-27 20:03:41.496780,34.0181,-5.0078,22.95,23.21,73.0,1006.0,3.09,90.0,75.0,Thunderstorm,thunderstorm,2.0,7.16,26.97,1.75,66.18,0.22,92.88,20.0,0.0,27.0,4.0,2
21,Marrakech,2026-04-27 20:03:38.063874,31.6295,-7.9811,21.98,21.9,64.0,1009.0,6.17,290.0,75.0,Rain,moderate rain,2.0,6.93,20.62,1.14,92.53,0.94,109.73,20.0,0.0,27.0,4.0,3
21,Rabat,2026-04-27 20:03:34.548580,34.0209,-6.8416,22.37,22.44,68.0,1007.0,2.06,320.0,8.0,Clear,clear sky,2.0,15.35,26.86,3.9,94.25,6.62,123.3,20.0,0.0,27.0,4.0,4
21,Tanger,2026-04-27 20:03:44.729982,35.7595,-5.834,18.74,18.55,72.0,1009.0,10.8,90.0,75.0,Clouds,broken clouds,2.0,8.0,15.18,3.13,89.61,1.36,128.67,20.0,0.0,27.0,4.0,5
22,Agadir,2026-04-27 21:04:06.810389,30.4278,-9.5981,18.06,18.09,83.0,1012.0,3.2,266.0,0.0,Clear,clear sky,3.0,7.23,15.06,0.34,102.74,0.53,117.41,21.0,0.0,27.0,4.0,0
22,Casablanca,2026-04-27 21:03:50.361412,33.5731,-7.5898,20.01,20.23,83.0,1009.0,3.6,300.0,40.0,Rain,light rain,2.0,9.85,24.56,1.41,96.77,2.93,118.77,21.0,0.0,27.0,4.0,1
22,Fes,2026-04-27 21:04:00.255102,34.0181,-5.0078,21.95,22.11,73.0,1007.0,3.09,120.0,75.0,Thunderstorm,thunderstorm,2.0,6.6,23.28,1.98,61.62,0.21,94.29,21.0,0.0,27.0,4.0,2
22,Marrakech,2026-04-27 21:03:57.003836,31.6295,-7.9811,19.98,19.94,73.0,1010.0,4.63,260.0,75.0,Rain,moderate rain,2.0,6.64,18.75,1.31,89.9,0.91,111.61,21.0,0.0,27.0,4.0,3
22,Rabat,2026-04-27 21:03:53.713948,34.0209,-6.8416,20.37,20.63,83.0,1008.0,1.54,250.0,6.0,Clear,clear sky,2.0,15.05,26.21,3.86,90.91,5.67,125.63,21.0,0.0,27.0,4.0,4
22,Tanger,2026-04-27 21:04:03.532526,35.7595,-5.834,18.74,18.55,72.0,1009.0,12.35,80.0,75.0,Clouds,broken clouds,2.0,8.26,15.75,3.26,84.16,1.31,129.3,21.0,0.0,27.0,4.0,5
23,Agadir,2026-04-27 22:04:25.975647,30.4278,-9.5981,18.06,18.19,87.0,1012.0,3.08,270.0,0.0,Clear,clear sky,3.0,7.58,15.94,0.3,102.1,0.51,116.66,22.0,0.0,27.0,4.0,0
23,Casablanca,2026-04-27 22:04:09.002799,33.5731,-7.5898,20.0,20.22,83.0,1009.0,3.09,260.0,18.0,Clouds,few clouds,2.0,10.07,25.4,1.44,94.64,2.56,119.86,22.0,0.0,27.0,4.0,1
23,Fes,2026-04-27 22:04:19.190047,34.0181,-5.0078,20.95,21.01,73.0,1007.0,4.12,100.0,75.0,Thunderstorm,thunderstorm,2.0,6.18,20.31,2.11,58.8,0.19,95.63,22.0,0.0,27.0,4.0,2
23,Marrakech,2026-04-27 22:04:15.712184,31.6295,-7.9811,18.98,18.81,72.0,1012.0,3.6,290.0,75.0,Rain,moderate rain,2.0,6.47,17.77,1.39,88.13,0.86,113.17,22.0,0.0,27.0,4.0,3
23,Rabat,2026-04-27 22:04:12.423666,34.0209,-6.8416,20.37,20.76,88.0,1008.0,2.06,220.0,4.0,Clear,clear sky,2.0,14.84,25.98,3.5,89.66,4.56,127.72,22.0,0.0,27.0,4.0,4
23,Tanger,2026-04-27 22:04:22.579516,35.7595,-5.834,18.74,18.55,72.0,1009.0,13.38,80.0,20.0,Clouds,few clouds,2.0,8.39,16.12,3.23,79.31,1.23,129.85,22.0,0.0,27.0,4.0,5
24,Agadir,2026-04-27 23:04:45.470150,30.4278,-9.5981,18.06,18.19,87.0,1013.0,2.23,276.0,0.0,Clear,clear sky,3.0,7.23,15.17,0.26,100.97,0.45,116.17,23.0,0.0,27.0,4.0,0
24,Casablanca,2026-04-27 23:04:28.184479,33.5731,-7.5898,20.0,20.22,83.0,1012.0,2.06,210.0,38.0,Rain,moderate rain,2.0,10.15,25.46,1.44,91.88,2.35,119.11,23.0,0.0,27.0,4.0,1
24,Fes,2026-04-27 23:04:38.816830,34.0181,-5.0078,21.95,21.98,68.0,1007.0,3.6,350.0,75.0,Thunderstorm,thunderstorm,1.0,6.0,18.69,2.21,55.24,0.16,94.93,23.0,0.0,27.0,4.0,2
24,Marrakech,2026-04-27 23:04:34.896728,31.6295,-7.9811,17.98,17.84,77.0,1012.0,4.63,280.0,75.0,Rain,moderate rain,2.0,6.28,16.91,1.36,86.11,0.8,112.99,23.0,0.0,27.0,4.0,3
24,Rabat,2026-04-27 23:04:31.565652,34.0209,-6.8416,20.37,20.92,94.0,1009.0,5.66,210.0,3.0,Rain,light rain,2.0,14.14,23.84,3.09,87.29,4.14,126.42,23.0,0.0,27.0,4.0,4
24,Tanger,2026-04-27 23:04:42.177560,35.7595,-5.834,18.77,18.58,72.0,1009.0,12.86,70.0,20.0,Clouds,few clouds,2.0,8.51,16.38,3.16,74.95,1.21,129.91,23.0,0.0,27.0,4.0,5
25,Agadir,2026-04-28 00:05:07.209497,30.4278,-9.5981,18.06,18.19,87.0,1013.0,2.44,272.0,11.0,Clouds,few clouds,3.0,6.66,13.86,0.23,100.3,0.4,115.66,0.0,1.0,28.0,4.0,0
25,Casablanca,2026-04-28 00:04:47.396818,33.5731,-7.5898,20.0,20.07,77.0,1011.0,2.06,250.0,50.0,Rain,moderate rain,2.0,10.25,25.61,1.35,90.61,2.1,119.57,0.0,1.0,28.0,4.0,1
25,Fes,2026-04-28 00:04:58.925922,34.0181,-5.0078,19.95,20.14,82.0,1007.0,1.54,110.0,75.0,Thunderstorm,thunderstorm,1.0,6.18,18.64,2.26,51.89,0.13,95.39,0.0,1.0,28.0,4.0,2
25,Marrakech,2026-04-28 00:04:55.579437,31.6295,-7.9811,17.97,17.83,77.0,1012.0,4.63,270.0,75.0,Rain,light rain,2.0,6.05,16.02,1.26,85.48,0.75,113.83,0.0,1.0,28.0,4.0,3
25,Rabat,2026-04-28 00:04:50.798306,34.0209,-6.8416,21.37,21.6,78.0,1009.0,5.66,210.0,75.0,Rain,moderate rain,2.0,13.29,21.58,2.71,84.93,3.87,125.07,0.0,1.0,28.0,4.0,4
25,Tanger,2026-04-28 00:05:02.608757,35.7595,-5.834,18.74,18.55,72.0,1008.0,14.92,70.0,75.0,Clouds,broken clouds,2.0,9.03,17.54,2.92,74.06,1.34,129.83,0.0,1.0,28.0,4.0,5
26,Agadir,2026-04-28 10:31:54.143332,30.4278,-9.5981,19.06,19.08,79.0,1013.0,2.6,262.0,96.0,Clouds,overcast clouds,2.0,1.87,4.07,0.23,97.01,0.16,114.82,10.0,1.0,28.0,4.0,0
