cycle_index,city,timestamp,lat,lon,temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,aqi,pm2_5,pm10,no2,o3,so2,co,hour,day_of_week,day_of_month,month,city_encoded
103,Agadir,2026-05-04 13:42:35.749988,30.4278,-9.5981,25.06,25.11,57.0,1013.0,5.37,279.0,3.0,Clear,clear sky,2.0,5.72,17.93,0.18,84.01,1.53,109.75,13.0,0.0,4.0,5.0,0
103,Casablanca,2026-05-04 13:42:17.318929,33.5731,-7.5898,20.78,20.48,60.0,1017.0,3.09,20.0,40.0,Clouds,scattered clouds,3.0,4.02,8.52,0.47,105.14,3.75,106.91,13.0,0.0,4.0,5.0,1
103,Fes,2026-05-04 13:42:28.086163,34.0181,-5.0078,17.95,18.1,88.0,1015.0,2.06,0.0,75.0,Clouds,broken clouds,2.0,2.51,4.09,0.25,78.19,0.35,91.7,13.0,0.0,4.0,5.0,2
103,Marrakech,2026-05-04 13:42:24.494124,31.6295,-7.9811,24.98,24.92,53.0,1014.0,2.06,0.0,40.0,Clouds,scattered clouds,2.0,7.35,19.58,0.4,90.41,0.86,97.92,13.0,0.0,4.0,5.0,3
103,Rabat,2026-05-04 13:42:20.808338,34.0209,-6.8416,21.37,21.23,64.0,1017.0,3.6,300.0,75.0,Clouds,broken clouds,3.0,4.12,6.17,0.79,100.63,4.68,108.46,13.0,0.0,4.0,5.0,4
103,Tanger,2026-05-04 13:42:32.071618,35.7595,-5.834,18.74,18.45,68.0,1017.0,5.14,300.0,40.0,Clouds,scattered clouds,3.0,1.3,3.44,0.36,101.55,1.06,114.83,13.0,0.0,4.0,5.0,5
104,Agadir,2026-05-04 13:52:51.193371,30.4278,-9.5981,25.06,25.11,57.0,1013.0,5.37,279.0,3.0,Clear,clear sky,2.0,5.72,17.93,0.18,84.01,1.53,109.75,13.0,0.0,4.0,5.0,0
104,Casablanca,2026-05-04 13:52:34.663496,33.5731,-7.5898,21.01,20.73,60.0,1017.0,3.09,20.0,40.0,Clouds,scattered clouds,3.0,4.02,8.52,0.47,105.14,3.75,106.91,13.0,0.0,4.0,5.0,1
104,Fes,2026-05-04 13:52:44.831236,34.0181,-5.0078,17.95,18.1,88.0,1015.0,2.06,0.0,75.0,Clouds,broken clouds,2.0,2.51,4.09,0.25,78.19,0.35,91.7,13.0,0.0,4.0,5.0,2
104,Marrakech,2026-05-04 13:52:41.648744,31.6295,-7.9811,24.98,24.92,53.0,1014.0,2.06,0.0,40.0,Clouds,scattered clouds,2.0,7.35,19.58,0.4,90.41,0.86,97.92,13.0,0.0,4.0,5.0,3
104,Rabat,2026-05-04 13:52:37.839471,34.0209,-6.8416,21.37,21.23,64.0,1017.0,3.6,320.0,75.0,Clouds,broken clouds,3.0,4.12,6.17,0.79,100.63,4.68,108.46,13.0,0.0,4.0,5.0,4
104,Tanger,2026-05-04 13:52:48.013919,35.7595,-5.834,18.74,18.45,68.0,1017.0,5.14,300.0,40.0,Clouds,scattered clouds,3.0,1.3,3.44,0.36,101.55,1.06,114.83,13.0,0.0,4.0,5.0,5
105,Agadir,2026-05-04 20:10:28.336565,30.4278,-9.5981,21.06,20.76,59.0,1011.0,6.51,322.0,0.0,Clear,clear sky,2.0,3.89,10.8,0.37,95.29,1.18,113.07,20.0,0.0,4.0,5.0,0
105,Casablanca,2026-05-04 20:10:10.843968,33.5731,-7.5898,18.88,18.6,68.0,1017.0,3.58,40.0,76.0,Clouds,broken clouds,3.0,2.99,7.16,1.4,100.96,4.42,109.44,20.0,0.0,4.0,5.0,1
105,Fes,2026-05-04 20:10:21.443091,34.0181,-5.0078,18.95,18.68,68.0,1015.0,3.6,330.0,75.0,Clouds,broken clouds,2.0,2.47,3.84,0.97,74.04,0.5,95.55,20.0,0.0,4.0,5.0,2
105,Marrakech,2026-05-04 20:10:17.690911,31.6295,-7.9811,25.98,25.98,36.0,1013.0,2.57,360.0,40.0,Clouds,scattered clouds,2.0,6.76,18.62,1.03,87.23,1.26,97.74,20.0,0.0,4.0,5.0,3
105,Rabat,2026-05-04 20:10:14.242496,34.0209,-6.8416,18.37,18.14,72.0,1017.0,3.6,350.0,40.0,Clouds,scattered clouds,2.0,2.58,5.35,2.45,96.54,4.07,111.85,20.0,0.0,4.0,5.0,4
105,Tanger,2026-05-04 20:10:25.043532,35.7595,-5.834,17.79,17.06,55.0,1016.0,4.63,260.0,20.0,Clouds,few clouds,3.0,1.59,3.91,0.89,113.35,1.09,117.93,20.0,0.0,4.0,5.0,5
106,Agadir,2026-05-04 21:10:46.315758,30.4278,-9.5981,19.06,18.74,66.0,1012.0,3.76,347.0,1.0,Clear,clear sky,2.0,3.38,10.04,0.37,95.36,1.06,113.43,21.0,0.0,4.0,5.0,0
106,Casablanca,2026-05-04 21:10:30.227417,33.5731,-7.5898,18.88,18.6,68.0,1018.0,3.58,40.0,79.0,Clouds,broken clouds,2.0,2.88,7.65,1.89,99.43,4.68,112.33,21.0,0.0,4.0,5.0,1
106,Fes,2026-05-04 21:10:39.879671,34.0181,-5.0078,16.36,15.72,64.0,1016.0,4.81,306.0,80.0,Clouds,broken clouds,2.0,2.49,3.97,1.39,69.82,0.58,97.34,21.0,0.0,4.0,5.0,2
106,Marrakech,2026-05-04 21:10:36.652756,31.6295,-7.9811,23.98,23.63,46.0,1014.0,5.14,360.0,75.0,Clouds,broken clouds,2.0,6.43,17.57,1.35,85.05,1.25,99.56,21.0,0.0,4.0,5.0,3
106,Rabat,2026-05-04 21:10:33.444756,34.0209,-6.8416,17.37,17.17,77.0,1018.0,3.09,350.0,40.0,Clouds,scattered clouds,2.0,2.28,5.16,2.72,94.02,3.86,113.69,21.0,0.0,4.0,5.0,4
106,Tanger,2026-05-04 21:10:43.118127,35.7595,-5.834,15.74,15.25,72.0,1017.0,4.63,270.0,20.0,Clouds,few clouds,3.0,1.55,3.86,1.0,112.21,1.08,118.41,21.0,0.0,4.0,5.0,5
107,Agadir,2026-05-04 22:11:06.124231,30.4278,-9.5981,18.06,17.78,71.0,1013.0,3.21,49.0,2.0,Clear,clear sky,2.0,3.02,9.65,0.35,95.43,0.96,114.07,22.0,0.0,4.0,5.0,0
107,Casablanca,2026-05-04 22:10:49.536875,33.5731,-7.5898,17.89,17.51,68.0,1018.0,3.09,50.0,76.0,Clouds,broken clouds,2.0,2.77,7.95,2.14,98.1,4.69,114.98,22.0,0.0,4.0,5.0,1
107,Fes,2026-05-04 22:10:59.535666,34.0181,-5.0078,14.96,14.34,70.0,1017.0,3.23,292.0,81.0,Clouds,broken clouds,2.0,2.49,4.11,1.67,67.64,0.63,98.9,22.0,0.0,4.0,5.0,2
107,Marrakech,2026-05-04 22:10:56.335606,31.6295,-7.9811,20.98,20.6,56.0,1015.0,6.17,30.0,75.0,Clouds,broken clouds,2.0,6.15,16.72,1.54,84.44,1.29,101.24,22.0,0.0,4.0,5.0,3
107,Rabat,2026-05-04 22:10:53.121141,34.0209,-6.8416,16.37,16.2,82.0,1018.0,2.06,360.0,40.0,Clouds,scattered clouds,2.0,2.15,5.06,2.61,93.42,3.66,115.19,22.0,0.0,4.0,5.0,4
107,Tanger,2026-05-04 22:11:02.751273,35.7595,-5.834,15.74,15.25,72.0,1017.0,3.09,260.0,20.0,Clouds,few clouds,3.0,1.5,3.88,1.0,110.91,1.04,118.43,22.0,0.0,4.0,5.0,5
108,Agadir,2026-05-04 23:11:24.933238,30.4278,-9.5981,18.06,17.8,72.0,1013.0,4.15,106.0,1.0,Clear,clear sky,2.0,2.79,9.48,0.35,95.26,0.89,114.41,23.0,0.0,4.0,5.0,0
108,Casablanca,2026-05-04 23:11:08.652363,33.5731,-7.5898,16.66,16.26,72.0,1018.0,1.34,60.0,71.0,Clouds,broken clouds,2.0,2.67,8.06,2.22,95.16,4.31,114.72,23.0,0.0,4.0,5.0,1
108,Fes,2026-05-04 23:11:18.421334,34.0181,-5.0078,14.17,13.55,73.0,1018.0,2.24,285.0,75.0,Clouds,broken clouds,2.0,2.44,4.13,1.96,63.3,0.55,98.12,23.0,0.0,4.0,5.0,2
108,Marrakech,2026-05-04 23:11:15.202814,31.6295,-7.9811,18.98,18.47,59.0,1016.0,5.14,40.0,75.0,Clouds,broken clouds,2.0,5.94,15.9,1.74,82.32,1.25,101.41,23.0,0.0,4.0,5.0,3
108,Rabat,2026-05-04 23:11:11.910311,34.0209,-6.8416,14.37,14.32,94.0,1018.0,1.54,20.0,40.0,Clouds,scattered clouds,2.0,2.07,4.92,2.51,92.54,3.47,114.89,23.0,0.0,4.0,5.0,4
108,Tanger,2026-05-04 23:11:21.634265,35.7595,-5.834,15.74,15.38,77.0,1017.0,3.09,260.0,20.0,Clouds,few clouds,3.0,1.49,4.04,1.1,108.17,0.98,117.96,23.0,0.0,4.0,5.0,5
109,Agadir,2026-05-05 00:11:44.106088,30.4278,-9.5981,17.06,16.78,75.0,1014.0,3.91,128.0,1.0,Clear,clear sky,2.0,2.65,9.4,0.34,95.53,0.84,115.0,0.0,1.0,5.0,5.0,0
109,Casablanca,2026-05-05 00:11:27.138832,33.5731,-7.5898,16.84,16.22,63.0,1018.0,2.57,50.0,67.0,Clouds,broken clouds,2.0,2.68,8.36,2.18,93.71,3.8,115.78,0.0,1.0,5.0,5.0,1
109,Fes,2026-05-05 00:11:37.270191,34.0181,-5.0078,14.95,14.51,77.0,1017.0,2.57,300.0,75.0,Clouds,broken clouds,1.0,2.44,4.18,2.17,57.73,0.42,98.06,0.0,1.0,5.0,5.0,2
109,Marrakech,2026-05-05 00:11:33.905848,31.6295,-7.9811,19.02,18.52,59.0,1016.0,3.6,50.0,75.0,Clouds,broken clouds,2.0,5.93,15.57,1.86,79.1,1.09,102.56,0.0,1.0,5.0,5.0,3
109,Rabat,2026-05-05 00:11:30.650588,34.0209,-6.8416,11.37,10.99,93.0,1018.0,0.0,0.0,40.0,Clouds,scattered clouds,2.0,2.06,4.88,2.41,92.83,3.35,115.59,0.0,1.0,5.0,5.0,4
109,Tanger,2026-05-05 00:11:40.772746,35.7595,-5.834,15.74,15.38,77.0,1017.0,3.6,260.0,20.0,Clouds,few clouds,3.0,1.5,4.35,1.22,105.31,0.91,117.46,0.0,1.0,5.0,5.0,5
110,Agadir,2026-05-05 00:54:42.067726,30.4278,-9.5981,17.06,16.88,79.0,1014.0,3.59,140.0,1.0,Clear,clear sky,2.0,2.56,9.37,0.31,95.57,0.79,115.33,0.0,1.0,5.0,5.0,0
110,Casablanca,2026-05-05 00:54:04.112428,33.5731,-7.5898,16.84,16.22,63.0,1017.0,2.57,50.0,69.0,Clouds,broken clouds,2.0,2.72,8.64,2.0,92.63,3.3,116.23,0.0,1.0,5.0,5.0,1
